freq,sex,wstatus,unit,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,M,INAC,THS_PER,DK	31.5 	32.2 	27.2 b	25.3 
A,M,INAC,THS_PER,EE	9.8 	11.4 	8.9 	9.1 
A,M,INAC,THS_PER,EL	102.8 	67.7 	77.6 	71.0 
A,M,INAC,THS_PER,ES	457.3 d	402.2 d	463.0 d	457.4 d
A,M,INAC,THS_PER,FI	46.4 	49.9 	55.6 	57.7 
A,M,INAC,THS_PER,FR	498.3 d	485.8 d	511.0 d	466.6 d
A,M,INAC,THS_PER,HR	26.8 	22.3 	25.8 	26.8 
A,M,INAC,THS_PER,HU	53.7 	48.6 	42.0 	45.8 
A,M,INAC,THS_PER,IE	23.3 	23.4 	27.1 	38.5 
A,M,INAC,THS_PER,IT	206.5 	195.7 	210.2 	205.8 
A,M,INAC,THS_PER,LT	20.2 	19.5 	19.6 	19.4 
A,M,INAC,THS_PER,LU	5.3 	6.1 	6.0 	6.9 
A,M,INAC,THS_PER,LV	8.9 	9.3 	11.8 	11.6 
A,M,INAC,THS_PER,MT	1.5 	2.1 	1.8 u	0.8 u
A,M,INAC,THS_PER,NL	117.7 	103.6 	98.9 	102.8 
A,M,INAC,THS_PER,PL	153.4 	149.1 	174.8 	171.3 
A,M,INAC,THS_PER,PT	45.3 	40.5 	48.5 	44.5 
A,M,INAC,THS_PER,RO	75.8 	75.0 	66.5 	71.5 
A,M,INAC,THS_PER,SE	58.3 	54.3 	48.9 	48.5 
A,M,INAC,THS_PER,SI	17.3 	15.5 	10.5 b	10.4 
A,M,INAC,THS_PER,SK	37.5 	32.9 	35.5 	33.5 
A,M,TOTAL,PC_POP,AT	16.38 	17.02 	17.13 	16.97 
A,M,TOTAL,PC_POP,BE	11.89 	12.08 	12.31 	11.87 
A,M,TOTAL,PC_POP,BG	8.68 	8.80 	9.15 	9.33 b
A,M,TOTAL,PC_POP,CY	12.72 	13.26 	14.44 	13.44 
